Start,Finish,Steps (count)
23-Oct-2015 18:00,23-Oct-2015 19:00,679.0
23-Oct-2015 19:00,23-Oct-2015 20:00,588.0
23-Oct-2015 20:00,23-Oct-2015 21:00,495.0
23-Oct-2015 21:00,23-Oct-2015 22:00,994.0
23-Oct-2015 22:00,23-Oct-2015 23:00,1335.55771235662
23-Oct-2015 23:00,24-Oct-2015 00:00,74.4422876433817
24-Oct-2015 00:00,24-Oct-2015 01:00,0.0
24-Oct-2015 01:00,24-Oct-2015 02:00,0.0
24-Oct-2015 02:00,24-Oct-2015 03:00,0.0
24-Oct-2015 03:00,24-Oct-2015 04:00,0.0
24-Oct-2015 04:00,24-Oct-2015 05:00,0.0
24-Oct-2015 05:00,24-Oct-2015 06:00,0.0
24-Oct-2015 06:00,24-Oct-2015 07:00,0.0
24-Oct-2015 07:00,24-Oct-2015 08:00,0.0
24-Oct-2015 08:00,24-Oct-2015 09:00,0.0
24-Oct-2015 09:00,24-Oct-2015 10:00,0.0
24-Oct-2015 10:00,24-Oct-2015 11:00,1712.8161744529
24-Oct-2015 11:00,24-Oct-2015 12:00,1077.1838255471
24-Oct-2015 12:00,24-Oct-2015 13:00,33.0
24-Oct-2015 13:00,24-Oct-2015 14:00,0.0
24-Oct-2015 14:00,24-Oct-2015 15:00,1266.0
24-Oct-2015 15:00,24-Oct-2015 16:00,102.173151027433
24-Oct-2015 16:00,24-Oct-2015 17:00,159.826848972567
24-Oct-2015 17:00,24-Oct-2015 18:00,85.0
24-Oct-2015 18:00,24-Oct-2015 19:00,1159.0
24-Oct-2015 19:00,24-Oct-2015 20:00,135.0
24-Oct-2015 20:00,24-Oct-2015 21:00,1201.0
24-Oct-2015 21:00,24-Oct-2015 22:00,0.0
24-Oct-2015 22:00,24-Oct-2015 23:00,294.548077760239
24-Oct-2015 23:00,25-Oct-2015 00:00,1091.45192223976
25-Oct-2015 00:00,25-Oct-2015 01:00,916.0
25-Oct-2015 01:00,25-Oct-2015 02:00,221.182890603591
25-Oct-2015 02:00,25-Oct-2015 03:00,133.817109396409
25-Oct-2015 03:00,25-Oct-2015 04:00,0.0
25-Oct-2015 04:00,25-Oct-2015 05:00,0.0
25-Oct-2015 05:00,25-Oct-2015 06:00,0.0
25-Oct-2015 06:00,25-Oct-2015 07:00,0.0
25-Oct-2015 07:00,25-Oct-2015 08:00,0.0
25-Oct-2015 08:00,25-Oct-2015 09:00,0.0
25-Oct-2015 09:00,25-Oct-2015 10:00,0.0
25-Oct-2015 10:00,25-Oct-2015 11:00,0.0
25-Oct-2015 11:00,25-Oct-2015 12:00,1452.0
25-Oct-2015 12:00,25-Oct-2015 13:00,0.0
25-Oct-2015 13:00,25-Oct-2015 14:00,0.0
25-Oct-2015 14:00,25-Oct-2015 15:00,0.0
